Longitude,Latitude,1976-1977,1978-1979,1980-1981,1982-1983,1984-1985,1986-1987,1988-1989,1990-1991,1992-1993,1994-1995,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
-173,83,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
-173,85,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
-173,87,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
-173,89,-0.4741,-0.6486,0.782,-0.1853,0.4201,-0.4742,0.2522,0.933,-0.0456,0.8145,0.9467,1.1199,1.1845,1.8034,1.4024,2.1518,1.8902,2.4035,2.1664,1.8544,3.001
-173,27,0.2642,-0.2446,-0.2504,-0.4971,0.3023,-0.1749,0.4682,-0.0039,-0.4124,0.222,0.0627,0.5379,1.1733,0.3175,0.3531,0.7009,0.7336,0.7655,0.8346,0.3815,0.6918
-173,63,-0.336,1.6727,0.932,0.956,0.1028,0.4784,0.7969,0.7755,0.7501,0.6085,1.6509,-0.067,1.1128,2.4001,1.9773,1.4557,0.4438,1.2921,0.6054,3.0473,3.5228
-173,61,-0.3717,1.7414,0.9415,0.9678,0.1585,0.5,0.7445,0.6929,0.7462,0.5862,1.5821,-0.1735,1.1,2.3194,1.96,1.2572,0.255,1.0467,0.4646,3.0051,3.3753
-173,33,-0.0134,-0.2989,-0.3787,-0.2253,0.2227,-0.3523,0.7048,0.601,-0.508,0.0937,-0.6036,0.8698,1.0828,0.1624,0.5446,0.5266,0.4473,0.8435,0.7126,0.2469,0.4876
-173,35,-0.2133,-0.2361,-0.3944,-0.2057,-0.0488,-0.4671,0.6995,0.6046,-0.6146,-0.0432,-0.8257,0.762,1.0203,0.0304,0.5573,0.4771,0.1447,0.7614,0.6806,0.3389,0.4509
-173,65,-0.4227,1.48,0.8157,0.8834,0.0713,0.3599,0.7876,0.8594,0.5909,0.5561,1.814,-0.0114,1.0176,2.364,1.8782,1.657,0.5939,1.4714,0.7267,2.9648,3.6436
-173,67,-0.3482,1.4122,0.8213,0.8471,0.0973,0.3528,0.8776,0.9677,0.6292,0.5877,1.9109,0.165,0.9948,2.3995,1.8879,1.8424,0.7581,1.6412,0.8664,2.973,3.7458
-173,25,0.1654,-0.0308,-0.0074,-0.4708,0.3628,-0.2127,0.4738,-0.0903,-0.2897,0.1805,0.1806,0.2177,0.983,0.3464,0.4173,0.692,0.6198,0.557,0.6455,0.3587,0.7265
